KODEPT,PT,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID (%),BOBOT VERIFIKASI (%),BOBOT UNGGAH (%),Klaster
43392,Sekolah Tinggi Manajemen Informatika Komputer Tazkia,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43368,Sekolah Tinggi Pendidikan Holistik Berbasis Karakter,6,1,1,7,3,3,0,3,0,0,1,0,0,3,1,0,0,6,0,0,11%,11%,66%,Merah
43187,Sekolah Tinggi Seni Musik Bandung,6,6,6,10,10,10,0,3,3,3,4,0,0,1,3,3,3,6,6,6,80%,80%,80%,Kuning
43049,Sekolah Tinggi Teknologi Mineral Indonesia,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43331,Sekolah Tinggi Teknologi Terpadu Nurul Fikri,6,6,6,9,9,9,1,3,3,1,4,3,3,0,9,0,0,6,0,0,46%,51%,94%,Merah
43107,Sekolah Tinggi Teknologi Texmaco,6,6,6,3,3,3,0,3,3,3,1,1,1,0,3,3,3,6,1,1,46%,46%,60%,Merah
43318,STIEB Perdana Mandiri,6,6,6,8,8,8,3,3,1,1,3,0,0,2,3,0,0,6,1,1,46%,46%,74%,Merah
43347,STIKES An Nasher Cirebon,6,6,3,10,3,3,3,3,0,0,0,0,0,1,1,0,0,3,0,0,17%,26%,66%,Merah
43292,STIKES Faathir Husada,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,6%,17%,Merah
43298,STIKES Karsa Husada Garut,6,6,0,4,4,4,0,3,3,3,2,2,1,1,4,4,0,6,1,1,23%,51%,66%,Merah
43277,STIKES Muhammadiyah Ciamis,6,6,6,10,10,10,2,3,3,3,4,1,1,1,7,2,2,6,6,6,77%,77%,91%,Kuning
43270,STIKES Wijaya Husada Bogor,6,6,6,10,10,10,3,3,0,0,3,0,0,0,3,3,3,6,0,0,54%,54%,80%,Kuning
43239,STISIP Banten Raya,6,6,6,6,3,3,0,3,3,3,2,0,0,0,3,0,0,6,0,0,34%,34%,69%,Merah
43183,STISIP Bina Putera Banjar,6,6,6,10,10,10,8,3,3,0,1,0,0,0,1,1,1,0,0,0,49%,57%,57%,Merah
43327,STISIP Guna Nusantara,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,20%,Merah
43367,STISIP Samudera Indonesia Selatan,6,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0%,0%,34%,Merah
43148,STISIP Syamsul Ulum,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,3%,17%,Merah
43110,STISIP Tasikmalaya,6,6,6,3,3,3,0,0,0,0,0,0,0,0,0,0,0,6,6,6,43%,43%,43%,Merah
43111,STKIP Arrahmaniyah,6,6,4,6,6,6,0,3,0,0,0,0,0,0,1,0,0,0,0,0,29%,34%,46%,Merah
43350,STKIP Babunnajah Pandeglang,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43334,STKIP Nahdlatul Ulama Indramayu,6,6,1,7,7,0,0,3,0,0,3,0,0,0,3,0,0,6,0,0,3%,37%,71%,Merah
43335,STKIP Purwakarta,6,0,0,10,0,0,7,3,0,0,3,0,0,0,6,0,0,6,0,0,0%,0%,89%,Merah
43339,STKIP Situs Banten di Serang,6,6,1,8,8,8,0,3,3,1,0,0,0,0,1,1,1,0,0,0,31%,51%,51%,Merah
43321,STKIP Surya,6,0,0,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9%,9%,46%,Merah
43344,STKIP Syekh Manshur,6,5,5,8,0,0,0,3,0,0,4,0,0,0,9,0,0,6,0,0,14%,14%,91%,Merah
43311,STMIK Antar Bangsa,6,4,4,10,8,8,1,3,2,2,1,0,0,0,1,0,0,0,0,0,40%,40%,57%,Merah
43121,STMIK Cilegon,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,17%,Merah
43118,STMIK DCI,6,6,6,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26%,46%,46%,Merah
43268,STMIK Dharma Negara,6,6,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,46%,46%,Merah
43198,STMIK Ganesha Bandung,6,4,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,40%,46%,Merah
43073,STMIK IM,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0%,0%,Merah
43086,STMIK Jabar,6,1,1,10,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,26%,26%,46%,Merah
